length,word_count,avg_word_length,digit_count,uppercase_count,exclamation_count,question_count,dollar_count,percent_count,has_url,has_phone,has_email,has_currency,keyword_urgent,keyword_immédiat,keyword_immédiatement,keyword_gagner,keyword_loterie,keyword_héritage,keyword_m-pesa,keyword_mobile_money,keyword_transfert,keyword_virement,keyword_récompense,keyword_arnaque,keyword_escroquerie,keyword_compte_bloqué,keyword_compte_suspendu,keyword_vérifier,keyword_confirmer,keyword_code,keyword_secret,keyword_pin,keyword_otp,keyword_gratuit,keyword_promo,keyword_offre_spéciale,keyword_temps_limité,keyword_mtn,keyword_moov,keyword_celtis,keyword_sbee,keyword_benin,keyword_bénin,fraud_keyword_score,uppercase_ratio,label
71,12,5.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028169014084507043,0
85,18,3.7777777777777777,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03529411764705882,0
157,26,4.923076923076923,19,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15286624203821655,0
189,32,4.9375,21,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.10582010582010581,0
47,9,4.333333333333333,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851063829787234,0
47,9,4.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
117,16,6.375,20,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0
164,27,5.037037037037037,26,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.18292682926829268,0
187,30,5.266666666666667,38,24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12834224598930483,0
118,21,4.619047619047619,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01694915254237288,0
